ID	tf
BH01_orig	0.03843
IH01_orig	0.01926
IH02_orig	0.01306
IA05_orig	0.01365
IA06_orig	0.01652
IA07_orig	0.01309
IA08_orig	0.01393
IC15_orig	0.4542
IC17_orig	0.2949
IC20_orig	0.2395
IC49_orig	0.01491
IC50_orig	0.01322
IC51_orig	0.0179
IC52_orig	0.3004
BH01_frag	0.01012
IH01_frag	0.01985
IH02_frag	0.01469
IA05_frag	0.01606
IA06_frag	0.01795
IA07_frag	0.008775
IA08_frag	0.01768
IC15_frag	0.454
IC17_frag	0.2955
IC20_frag	0.237
IC49_frag	0.01255
IC50_frag	0.0138
IC51_frag	0.02062
IC52_frag	0.2904
